"","combi","period_diff","ci_width"
"1","1 - 2",0,0.779621718940234
"2","1 - 3",0,0.755420600434818
"3","1 - 4",0,0.77230993794391
"4","1 - 5",0,0.764390193689269
"5","1 - 6",0.166666666666667,0.777034914708677
"6","1 - 7",0,0.756843311306506
"7","1 - 8",0.261904761904762,0.782968685650644
"8","1 - 9",0.0476190476190476,0.79538583369427
"9","1 - 10",0.246031746031746,0.759938669982341
"10","2 - 3",0.0952380952380952,0.771194418770794
"11","2 - 4",0.325396825396825,0.787769125536405
"12","2 - 5",0,0.782024774492437
"13","2 - 6",0.547619047619048,0.7877067758779
"14","2 - 7",0,0.763686602043387
"15","2 - 8",0.126984126984127,0.771672397726264
"16","2 - 9",0,0.796888217455579
"17","2 - 10",0.515873015873016,0.774546967242619
"18","3 - 4",0.0555555555555556,0.757296121690706
"19","3 - 5",0,0.754872934450169
"20","3 - 6",0.150793650793651,0.764675320421237
"21","3 - 7",0,0.756772259169669
"22","3 - 8",0.0793650793650794,0.820358012786396
"23","3 - 9",0.103174603174603,0.782454016202866
"24","3 - 10",0.174603174603175,0.754861026740036
"25","4 - 5",0,0.774771082338464
"26","4 - 6",0,0.808625956089746
"27","4 - 7",0.0555555555555556,0.758084410731379
"28","4 - 8",0.428571428571429,0.781377201141051
"29","4 - 9",0.53968253968254,0.81221700373517
"30","4 - 10",0,0.766424691559796
"31","5 - 6",0.142857142857143,0.791338143020631
"32","5 - 7",0,0.756160393131754
"33","5 - 8",0.182539682539683,0.787721826341273
"34","5 - 9",0.0952380952380952,0.803509149637806
"35","5 - 10",0.26984126984127,0.763040810417066
"36","6 - 7",0.261904761904762,0.756936510758335
"37","6 - 8",0.444444444444444,0.805867346202951
"38","6 - 9",0.714285714285714,0.839015583811205
"39","6 - 10",0,0.771823611008727
"40","7 - 8",0.174603174603175,0.769570689435998
"41","7 - 9",0.174603174603175,0.766657830281972
"42","7 - 10",0.222222222222222,0.758639468684637
"43","8 - 9",0.206349206349206,0.774581454399617
"44","8 - 10",0.468253968253968,0.78840874303451
"45","9 - 10",0.698412698412698,0.787802040649847
